names.word_fre.,as.numeric.word_fre.
water,39395
heat,31851
condition,21924
street,12494
noise,7318
blocked,5905
driveway,5905
light,5827
parking,5548
illegal,5477
unsanitary,4579
system,4321
plumbing,4236
request,3693
dof,3643
literature,3491
paintplaster,3487
traffic,3340
signal,3172
general,2975
derelict,2914
sewer,2628
doorwindow,2600
vehicle,2474
leak,2389
commercial,2362
complaint,2118
broken,1819
meter,1819
graffiti,1773
conditions,1757
dirty,1757
muni,1708
electric,1635
sanitation,1580
flooringstairs,1516
card,1468
replacement,1468
benefit,1467
constructionplumbing,1432
vehicles,1370
damaged,1351
buildinguse,1306
rodent,1290
tree,1133
taxi,1072
streetsidewalk,1023
materials,941
safety,915
sign,878
animal,863
consumer,854
quality,820
collection,810
missed,801
homeless,797
conservation,740
air,736
food,721
elevator,720
lead,714
appliance,707
abuse,690
property,683
assistance,654
person,654
mayor,637
opinion,637
account,498
establishment,498
update,498
enforcement,459
scrie,447
special,434
highway,425
snow,376
indoor,357
fire,347
maintenance,327
director,324
hire,307
vending,305
sidewalk,297
inspection,286
facility,262
team,261
projects,251
spit,251
missing,247
overgrown,247
treebranches,247
rootsewersidewalk,237
hpd,234
poisoning,223
heat,211
nonresidential,211
report,184
dot,163
dangling,159
agency,158
electrical,157
issues,157
boilers,153
encampment,143
hazardous,140
smoking,134
park,133
asbestos,129
litter,126
dca,122
dead,115
advertisement,105
posting,105
issue,91
reduction,91
application,86
doh,86
license,86
basket,85
school,79
damage,76
pvt,74
building,67
drinking,66
deaddying,63
industrial,62
waste,62
sewage,61
curb,59
dpr,59
internal,59
lot,53
vacant,53
bicycle,52
discipline,51
iad,51
investigations,51
helicopter,50
ferry,49
cranes,45
derricks,45
baskets,41
exemption,41
overflowing,41
tax,41
recycling,40
rules,39
violation,39
eap,35
bridge,34
information,31
plant,31
house,30
inquiry,30
worship,30
care,27
day,27
dog,27
unleashed,27
bestsite,26
public,25
sweepingmissed,25
compliment,24
alarm,23
center,23
senior,23
panhandling,21
found,20
city,18
pigeon,18
placard,18
dor,16
dep,14
mold,14
bus,13
payphone,13
placement,13
scaffold,13
shelter,13
stop,13
reinspection,12
bikerollerskate,11
chronic,11
emergency,10
ert,10
pet,10
response,10
oem,9
truck,9
urinating,9
municipal,7
invitation,6
modification,6
permit,6
sweepinginadequate,6
tattooing,6
comments,5
misc,5
beachpoolsauna,4
disorderly,4
youth,4
advocate,3
bike,3
categories,3
guard,3
miscellaneous,3
rack,3
window,3
area,2
district,2
legal,2
machineequipment,2
natural,2
provider,2
services,2
snad,2
sold,2
taxpayer,2
toilet,2
xray,2
abatement,1
adoptabasket,1
advocatecoopcondo,1
advocatepersonal,1
advocateprop,1
advocatescriedrie,1
assembly,1
calorie,1
dfta,1
disabled,1
exemptions,1
fireworks,1
flame,1
labeling,1
laboratory,1
material,1
mechanical,1
open,1
questions,1
radioactive,1
rangehood,1
refundscredits,1
research,1
sprinkler,1
squeegee,1
tunnel,1
